Country,City,AccentCity,Region,Population,Latitude,Longitude
ad,aixas,Aixàs,6,,42.4833333,1.4666667
ad,aixirivali,Aixirivali,6,,42.4666667,1.5
ad,aixirivall,Aixirivall,6,,42.4666667,1.5
ad,aixirvall,Aixirvall,6,,42.4666667,1.5
ad,aixovall,Aixovall,6,,42.4666667,1.4833333
ad,andorra,Andorra,7,,42.5,1.5166667
ad,andorra la vella,Andorra la Vella,7,20430,42.5,1.5166667
ad,andorra-vieille,Andorra-Vieille,7,,42.5,1.5166667
ad,andorre,Andorre,7,,42.5,1.5166667
ad,andorre-la-vieille,Andorre-la-Vieille,7,,42.5,1.5166667
ad,andorre-vieille,Andorre-Vieille,7,,42.5,1.5166667
ad,ansalonga,Ansalonga,4,,42.5666667,1.5166667
ad,anyos,Anyós,5,,42.5333333,1.5333333
ad,arans,Arans,4,,42.5833333,1.5166667
ad,arinsal,Arinsal,4,,42.5666667,1.4833333
ad,aubinya,Aubinyà,6,,42.45,1.5
ad,auvinya,Auvinya,6,,42.45,1.5
ad,bicisarri,Biçisarri,6,,42.4833333,1.4666667
ad,bixessarri,Bixessarri,6,,42.4833333,1.4666667
ad,bixisarri,Bixisarri,6,,42.4833333,1.4666667
ad,canillo,Canillo,2,3292,42.5666667,1.6
ad,casas vila,Casas Vila,3,,42.5333333,1.5666667
ad,certers,Certers,6,,42.4666667,1.5
ad,certes,Certés,6,,42.4666667,1.5
ad,eixirivall,Eixirivall,6,,42.4666667,1.5
ad,el pui,El Pui,4,,42.55,1.5166667
ad,els bons,Els Bons,3,,42.5333333,1.5833333
ad,el serrat,El Serrat,4,,42.6166667,1.55
ad,els plans,Els Plans,2,,42.5833333,1.6333333
ad,el tarter,El Tarter,2,,42.5833333,1.65
ad,el tremat,El Tremat,3,,42.55,1.5833333
ad,el vilar,El Vilar,2,,42.5666667,1.6
ad,encamp,Encamp,3,11224,42.5333333,1.5833333
ad,engordany,Engordany,8,,42.5166667,1.55
ad,ercs,Ercs,4,,42.5666667,1.5
ad,ercz,Ercz,4,,42.5666667,1.5
ad,erez,Erez,4,,42.5666667,1.5
ad,erts,Erts,4,,42.5666667,1.5
ad,escaldas,Escaldas,8,,42.5,1.5333333
ad,escaldes,Escaldes,8,,42.5,1.5333333
ad,escas,Escàs,4,,42.55,1.5166667
ad,fontaneda,Fontaneda,6,,42.45,1.4666667
ad,juberri,Juberri,6,,42.4333333,1.5
ad,juverri,Juverri,6,,42.4333333,1.5
ad,la cortinada,La Cortinada,4,,42.5666667,1.5166667
ad,la costa,La Costa,2,,42.5833333,1.6333333
ad,l'aldosa,L'Aldosa,2,,42.5833333,1.6333333
ad,l'aldosa,L'Aldosa,5,,42.55,1.5333333
ad,la macana,La Maçana,4,,42.55,1.5166667
ad,la massana,La Massana,4,7211,42.55,1.5166667
ad,las escadas,Las Escadas,8,,42.5,1.5333333
ad,la vieja,la Vieja,7,,42.5,1.5166667
ad,les bons,Les Bons,3,,42.5333333,1.5833333
ad,les escaldes,Les Escaldes,8,15854,42.5,1.5333333
ad,llors,Llors,4,,42.6,1.5333333
ad,llorta,Llorta,4,,42.6,1.5333333
ad,llorts,Llorts,4,,42.6,1.5333333
ad,llumeneres,Llumeneres,6,,42.4666667,1.5166667
ad,lors,Lors,4,,42.6,1.5333333
ad,lo serrat,Lo Serrat,4,,42.6166667,1.55
ad,mas d'alins,Mas d'Alins,6,,42.4333333,1.45
ad,mas de ribafeta,Mas de Ribafeta,4,,42.5666667,1.4833333
ad,meritxell,Meritxell,2,,42.55,1.6
ad,molleres,Molleres,3,,42.55,1.5833333
ad,mosquera,Mosquera,3,,42.55,1.5833333
ad,nagol,Nagol,6,,42.4666667,1.5
ad,ordino,Ordino,5,2553,42.55,1.5333333
ad,pal,Pal,4,,42.55,1.4833333
ad,pas de la casa,Pas de la Casa,2,,42.55,1.7333333
ad,prats,Prats,2,,42.5666667,1.6
ad,puiol del piu,Puiol del Piu,4,,42.5666667,1.5
ad,ransol,Ransol,2,,42.5833333,1.6333333
ad,sanctuaire de meritxeli,Sanctuaire de Meritxeli,2,,42.55,1.6
ad,sanctuaire de meritxell,Sanctuaire de Meritxell,2,,42.55,1.6
ad,san joan de casettas,San Joan de Casettas,2,,42.5666667,1.6166667
ad,san julia,San Juliá,6,,42.4666667,1.5
ad,santa coloma,Santa Coloma,7,,42.5,1.5
ad,santa julia de loria,Santa Juliá de Loria,6,,42.4666667,1.5
ad,sant joan de casellas,Sant Joan de Casellas,2,,42.5666667,1.6166667
ad,sant joan de caselles,Sant Joan de Caselles,2,,42.5666667,1.6166667
ad,sant julia de loria,Sant Julià de Lòria,6,8020,42.4666667,1.5
ad,sant julia,Sant Juliá,6,,42.4666667,1.5
ad,sant pere,Sant Pere,2,,42.5833333,1.65
ad,santuari de meritxell,Santuari de Meritxell,2,,42.55,1.6
ad,segudet,Segudet,5,,42.55,1.5333333
ad,sertes,Sertes,6,,42.4666667,1.5
ad,sispony,Sispony,4,,42.5333333,1.5166667
ad,soldeu,Soldeu,2,,42.5833333,1.6666667
ad,sornas,Sornàs,5,,42.5666667,1.5333333
ad,vila,Vila,3,,42.5333333,1.5666667
ad,vixesarri,Vixesarri,6,,42.4833333,1.4666667
ad,xixerella,Xixerella,4,,42.55,1.4833333
ae,abu dabi,Abu Dabi,1,,24.466667,54.366667
ae,abu dhabi,Abu Dhabi,1,603687,24.466667,54.366667
ae,abu hail,Abu Hail,3,,25.285475,55.329611
ae,abu zabi,Abu Zabi,1,,24.466667,54.366667
ae,abu zabye,Abu Zabye,1,,24.466667,54.366667
ae,abu zabyo,Abu Zabyo,1,,24.466667,54.366667
ae,ad dharbaniya,Ad Dharbaniya,5,,25.783333,55.933333
ae,adgat,Adgat,4,,25.498669,56.358302
ae,adh dhaid,Adh Dhaid,6,,25.288123,55.881571
ae,adhin,Adhin,5,,25.460122,56.012562
ae,afarah,Afarah,4,,25.041055,56.314853
ae,`ain,`Ain,1,,24.212717,55.783488
ae,ain al ghamur,Ain al Ghamur,6,,24.959508,56.315852
ae,`ain dhawahir,`Ain Dhawahir,1,,24.212717,55.783488
ae,ajima,Ajima,5,,25.398308,56.150726
ae,akamiya,Akamiya,4,,25.600312,56.269097
ae,al abadilah,Al Abadilah,4,,25.453529,56.18991
ae,al ain,Al Ain,1,,24.191667,55.760556
ae,al ajman,Al Ajman,2,,25.406942,55.444126
ae,al `ayn,Al `Ayn,6,,24.959508,56.315852
ae,al `ayn al ghamur,Al `Ayn al Ghamur,6,,24.959508,56.315852
ae,al badiyah,Al Badiyah,4,,25.432273,56.345736
ae,al bithnah,Al Bithnah,4,,25.189507,56.235157
ae,al daid,Al Daid,6,,25.288123,55.881571
ae,al-dhayd,Al-Dhayd,6,,25.288123,55.881571
ae,al dini,Al Dini,7,,25.932264,56.405128
ae,al duss,Al Duss,7,,25.907278,56.393
ae,al fai,Al Fai,5,,26.021389,56.091389
ae,al fiyya,Al Fiyya,1,,24.298014,53.211395
ae,al-fudjayra,Al-Fudjayra,4,,25.116412,56.341408
ae,al fuqait,Al Fuqait,4,,25.599658,56.342487
ae,al fuyay',Al Fuyay',1,,24.298014,53.211395
ae,al-ghil,Al-Ghil,5,,25.401739,56.068063
ae,algida,Algida,5,,25.996111,56.084167
ae,al gissemari,Al Gissemari,4,,25.143423,56.248397
ae,al hagarein,Al Hagarein,3,,24.798996,56.115379
ae,al haira,Al Haira,6,,25.38148,55.419551
ae,al hairah,Al Hairah,6,,25.38148,55.419551
ae,alhala,Alhala,4,,25.477378,56.182437
ae,al hama'im,Al Hama'im,1,,22.95805,54.297206
ae,al hamra',Al Hamra',5,,25.709102,55.807724
ae,al hamriya,Al Hamriya,6,,25.478194,55.533768
ae,al hayir,Al Hayir,5,,25.978611,56.085278
ae,al hayl,Al Hayl,4,,25.092227,56.24418
ae,al hayl,Al Hayl,5,,25.704979,55.987009
ae,al hinya,Al Hinya,4,,25.350928,56.025345
ae,al-hirah,Al-Hirah,6,,25.38148,55.419551
ae,al-humaimah,Al-Humaimah,1,,22.95805,54.297206
ae,al ian,Al Ian,1,,24.212717,55.783488
ae,aliya,Aliya,6,,25.353969,55.37189
ae,al jazirah al hamra',Al Jazirah al Hamra',5,,25.709102,55.807724
ae,al jima,Al Jima,1,,24.24914,55.745824
ae,al jimi,Al Jimi,1,,24.24914,55.745824
ae,al khalabiya,Al Khalabiya,4,,25.381235,56.173576
ae,al kharan,Al Kharan,5,,25.716175,55.967757
ae,al khatt,Al Khatt,4,,25.617288,56.011128
ae,al khawiya,Al Khawiya,4,,25.995584,56.380513
ae,al khulaybiyah,Al Khulaybiyah,4,,25.381235,56.173576
ae,al layyah,Al Layyah,6,,25.353969,55.37189
ae,al maham,Al Maham,5,,25.675,55.990278
ae,al-mariyya al-gharbyya,Al-Mariyya Al-Gharbyya,1,,23.102651,53.581849
ae,al-mariyya,Al-Mariyya,1,,23.138476,53.742603
ae,al-mariyyah,Al-Mariyyah,1,,23.138476,53.742603
ae,al-mirfa',Al-Mirfa',1,,24.099107,53.490769
ae,al mu`taridh,Al Mu`taridh,1,,24.218997,55.739888
ae,al muwaijh,Al Muwaijh,1,,24.201667,55.716389
ae,al muweiqi,Al Muweiqi,1,,24.201667,55.716389
ae,al-nashash,Al-Nashash,1,,23.081096,54.036351
ae,al-naslah,Al-Naslah,5,,24.865864,56.260851
ae,al odeid,Al Odeid,1,,24.616667,51.4
ae,al-qatarah,Al-Qatarah,1,,24.259929,55.755658
ae,al qawr,Al Qawr,5,,24.912136,56.095661
ae,al qima,Al Qima,1,,24.24914,55.745824
ae,al qor,Al Qor,5,,24.912136,56.095661
ae,al-rol,Al-Rol,4,,25.601056,56.322797
ae,al saad,Al Saad,1,,24.15,55.766667
ae,al said,Al Said,1,,24.15,55.766667
ae,al satwa,Al Satwa,3,,25.229014,55.272329
ae,al selimat,Al Selimat,1,,24.221944,55.603056
ae,al sharjah,Al Sharjah,6,,25.35731,55.403304
ae,al-tarif,Al-Tarif,1,,24.053988,53.763468
ae,al-'udaid,Al-'Udaid,1,,24.616667,51.4
ae,al-`udeid,Al-`Udeid,1,,24.616667,51.4
ae,al wathba,Al Wathba,1,,24.25958,54.707814
ae,an naslah,An Naslah,5,,24.865864,56.260851
ae,aqqa,Aqqa,4,,25.498669,56.358302
ae,`arada,`Arada,1,,22.992313,53.428915
ae,araibi,Araibi,5,,25.789452,55.976649
ae,ar ru'ays,Ar Ru'ays,1,,24.110278,52.730556
ae,ash 'mariqah,Ash 'Mariqah,6,,25.35731,55.403304
ae,ash shariqa,Ash Shariqa,6,,25.35731,55.403304
ae,`asimah,`Asimah,5,,25.398308,56.150726
ae,as salihiyah,As Salihiyah,5,,25.721613,55.990811
ae,as saqamqam,As Saqamqam,4,,25.174666,56.330388
ae,athaba,Athaba,5,,25.163564,56.09619
ae,at tarif,At Tarif,1,,24.053988,53.763468
ae,at turayf,At Turayf,1,,24.053988,53.763468
ae,`awanat,`Awanat,7,,25.365847,55.856185
ae,ayaina,Ayaina,4,,25.452828,56.16879
ae,ayn al faidah,Ayn al Faidah,1,,24.083333,55.683333
ae,`ayn al ghamur,`Ayn al Ghamur,6,,24.959508,56.315852
ae,`ayn zawahir,`Ayn Zawahir,1,,24.212717,55.783488
ae,badiya,Badiya,4,,25.432273,56.345736
ae,badiyyah,Badiyyah,4,,25.432273,56.345736
ae,bandar mirfah,Bandar Mirfah,1,,24.099107,53.490769
ae,barahah,Barahah,3,,25.266667,55.316667
ae,batain,Batain,1,,24.442901,54.355388
ae,batein,Batein,1,,24.442901,54.355388
ae,bidayarat margham,Bidayarat Margham,3,,24.870768,55.549053
ae,bidiya,Bidiya,4,,25.432273,56.345736
ae,bidyah,Bidyah,4,,25.432273,56.345736
ae,bid' zayed,Bid' Zayed,1,,23.630726,53.729897
ae,bilaida,Bilaida,4,,25.223877,56.202213
ae,bilaidah,Bilaidah,4,,25.223877,56.202213
ae,bithna,Bithna,4,,25.189507,56.235157
ae,bithnah,Bithnah,4,,25.189507,56.235157
ae,budayyah,Budayyah,4,,25.432273,56.345736
ae,bulaidha,Bulaidha,4,,25.223877,56.202213
ae,chuwais,Chuwais,5,,25.78102,55.978696
ae,daba al-ghurfah,Daba al-Ghurfah,4,,25.597686,56.276736
ae,daba al-hisn,Daba al-Hisn,6,,25.619547,56.272912
ae,daba,Daba,6,,25.619547,56.272912
ae,dabei,Dabei,3,,25.258172,55.304717
ae,dadna,Dadna,4,,25.524217,56.35868
ae,dadnah,Dadnah,4,,25.524217,56.35868
ae,dafir,Dafir,1,,23.127315,53.754393
ae,dafta,Dafta,5,,25.272255,56.183534
ae,daira,Daira,3,,25.273069,55.306374
ae,dairah,Dairah,3,,25.273069,55.306374
ae,dasa,Dasa,1,,24.278385,52.623689
ae,datta,Datta,5,,25.272255,56.183534
ae,dayd,Dayd,6,,25.288123,55.881571
ae,deira,Deira,3,,25.273069,55.306374
ae,dhadna,Dhadna,4,,25.524217,56.35868
ae,dhafir,Dhafir,1,,23.127315,53.754393
ae,dhaiah,Dhaiah,5,,25.887843,56.058239
ae,dhaid,Dhaid,6,,25.288123,55.881571
ae,dhaiyah,Dhaiyah,5,,25.887843,56.058239
ae,dhawaihir,Dhawaihir,1,,23.283333,53.2
ae,dhayd,Dhayd,6,,25.288123,55.881571
ae,dhuwaiher,Dhuwaiher,1,,23.139159,53.693403
ae,diba al hisn,Diba al Hisn,6,,25.619547,56.272912
ae,dibah,Dibah,6,,25.619547,56.272912
ae,dibai,Dibai,3,,25.258172,55.304717
ae,dibay,Dibay,3,,25.258172,55.304717
ae,dibba,Dibba,6,,25.619547,56.272912
ae,dibbah,Dibbah,6,,25.619547,56.272912
ae,digdagga,Digdagga,5,,25.665602,55.969045
ae,diq duqqah,Diq Duqqah,5,,25.665602,55.969045
ae,dirah,Dirah,3,,25.273069,55.306374
ae,dubai,Dubai,3,1137376,25.258172,55.304717
ae,dubay,Dubay,3,,25.258172,55.304717
ae,duhayd,Duhayd,6,,25.288123,55.881571
ae,duwaihir,Duwaihir,1,,23.283333,53.2
ae,duwayhin,Duwayhin,1,,23.077341,54.084222
ae,el ain,El Ain,1,,24.212717,55.783488
